"Number";"Name";"Deployment State";"Incident State";"Vendor";"Model";"Description";"Type";"Owner";"SerialNumber";"OperatingSystem";"GraphicAdapter";"OtherEquipment";"WarrantyExpirationDate";"InstallDate";"Note"
"1422000020";"127182";"Production";"Equipamento Usado - em bom estado";"LENOVO";"80F3 i7";"EQUIPAMENTO USADO EM BOM ESTADO

- RACHADO NA LATERAL ESQUERDA INFERIOR DA TELA;
- RACHADO NA SAÍDA DE AR(ESQUERDO);
- FALTA PARAFUSO PRÓXIMO A CONEXÃO DE REDE;";"Laptop";"28820_marco";"PE01R5X3";"";"";;"2017-12-29";"2018-04-13";
"1422000025";"128946";"Production";"Equipamento Novo";"LENOVO";"V310 i5";"NOTEBOOK FOI PASSADO NOVO PARA O COLABORADOR.";"Laptop";"lucas_nasciment";"PEO2J1A9";"x";"";;"2017-12-29";"2017-05-23";
"1422000026";"128944";"Production";"Equipamento Novo";"LENOVO";"LENOVO V310";"EQUIPAMENTO NOVO.";"Laptop";"heiter_lima";"PE02J1B2";"";"";;"2017-12-29";"2017-05-23";
"1422000027";"122918";"Production";"Equipamento Novo";"LENOVO";"LENOVO V310";"EQUIPAMENTO NOVO";"Laptop";"diego_rocha";"PE021AG";"";"";;"2017-12-29";"2017-05-25";
"1422000028";"122919";"Production";"Equipamento Novo";"LENOVO";"LENOVO V310";"EQUIPAMENTO NOVO";"Laptop";"ana_lopes";"PE02J1BZ";"";"";;"2017-12-29";"2018-03-14";
"1422000029";"131158";"Production";"Equipamento Novo";"SAMSUNG";"SAMSUMG EXPERT";"NOTEBOOK NOVO.";"Laptop";"diogo_carvalho";"07GD9QAJ100995W";"";"";;"2017-12-29";"2017-05-26";
"1422000030";"121163";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431";"NOTEBOOK USADO EM PERFEITO ESTADO, SEM NENHUMA AVARIA.";"Laptop";"luiz_stanquevis";"PEDZL91";"";"X";;"2018-01-04";"2018-01-10";
"1422000031";"127168";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431";"EQUIPAMENTO USADO EM BOM ESTADO.";"Laptop";"alexsander_avil";"PEDZP86";"";"";;"2018-01-04";"2018-01-10";
"1422000032";"108278";"Inactive";"Equipamento Usado - com avarias";"HP";"4320s i3";"NOTEBOOK SEM RECUPERAÇÃO - SUCATA";"Laptop";"estoque@callink.com.br";"BRG128FHX9";"";"";;"2018-01-08";"2018-01-08";
"1422000033";"131430";"Production";"Equipamento Usado - em bom estado";"LENOVO";"80V8";"EQUIPAMENTO USADO EM BOM ESTADO";"Laptop";"denize_nunes";"PE02ZB0C";"";"";;"2018-01-11";"2018-01-11";
"1422000034";"130333";"Production";"Equipamento Usado - em bom estado";"DELL";"LATITUDE";"NOTEBOOK SEMINOVO EM PERFEITO ESTADO DE CONSERVAÇÃO,SEM NENHUM TIPO DE AVARIA.";"Laptop";"fernanda_demetr";"43VGSL2";"X";"X";;"2018-01-12";"2018-01-12";
"1422000035";"112263";"Production";"Equipamento Usado - em bom estado";"HP";"ELITEBOOK";"NOTEBOOK USADO EM BOM ESTADO DE CONSERVAÇÃO COM DOIS AMASSADOS NA TAMPA,1 AMASSADO PRÓXIMO DO BOTÃO DE ABRIR E ESTÁ FALTANDO UMA TAMPINHA DE ACABAMENTO DA FRENTE.

NOTEBOOK ESTAVA COM ADENILTON DONIZETE.";"Laptop";"thiago_faria";"BRG234F480";"X";"";;"2018-01-12";"2018-01-12";
"1422000036";"122924";"Production";"Equipamento Usado - em bom estado";"SANSUNG";"SAMSUNG NP300E5K i7";"NOTEBOOK USADO EM BOM ESTADO DE CONSERVAÇÃO";"Laptop";"Francisco_Netto";"07GD9QAJ200328Z";"";"";;"2018-01-15";"2018-01-15";
"1422000037";"126105";"Production";"Equipamento Usado - com avarias";"HP";"HP 240/PT3290";"NOTEBOOK COM UM(1) QUEBRADO NA TAMPA DO LADO ESQUERDO E EM BAIXO, DOIS(2)QUEBRADOS NA MOLDURA DA TELA.";"Laptop";"viviane_castro";"BRJ4373XVH";"";"";;"2018-01-16";"2018-01-16";
"1422000038";"114794";"Production";"Equipamento Usado - com avarias";"HP";"440 G1 i5";"NOTEBOOK USADO COM CARCAÇA E MOLDURA APRESENTANDO QUEBRADO DO LADO ESQUERDO, MOLDURA TAMBÉM ESTÁ SOLTANDO DO LADO DIREITO NA PARTE DE BAIXO.";"Laptop";"barbara_ferre";"BRJ41860XT";"";"";;"2018-01-17";"2018-01-17";
"1422000039";"131525";"Production";"Equipamento Novo";"LENOVO";"B320-81CC";"NOTEBOOK NOVO.";"Laptop";"juliana_mp";"PE03625K";"";"";;"2018-01-19";"2018-01-19";
"1422000040";"131523";"Production";"Equipamento Novo";"LENOVO";"B320-81CC";"NOTEBOOK NOVO.";"Laptop";"david_preciozo";"PE0363VH";"";"";;"2018-01-19";"2018-01-19";
"1422000041";"115669";"Maintenance";"Equipamento Usado - com avarias";"LENOVO";"E431";"NOTEBOOK FALTANDO BOTÃO VERMELHO DO TECLADO, QUEBRADO NA ESTRUTURA DA TAMPA DO LADO ESQUERDO,
TAMPA DA GRAVADORA SOLTANDO E FALTANDO TAMPA DO COOLER.";"Laptop";"estoque@callink.com.br";"PE-DNR34";"";"";;"2018-01-20";"2018-01-20";
"1422000042";"114128";"Production";"Equipamento Usado - em bom estado";"HP";"HP 440G1";"NOTEBOOK USADO COM TRINCADO NA LATERAL DA TELA E PROBLEMA NO CABO FLAT.";"Laptop";"ademir_pereira";"BRJ4040STV";"";"";;"2018-01-20";"2018-01-20";
"1422000043";"112899";"Estoque";"Equipamento Usado - em bom estado";"HP";"PROBOOK 4440s i5";"Notebook usado em bom estado
- AMASSADOR NOS CANTOS E PRÓX AO BOTÃO ON/OFF;
- SINAIS DE DESGASTE;";"Laptop";"estoque@callink.com.br";"BRG333F721";"";"";"X";"2018-01-20";;"X"
"1422000044";"111804";"Estoque";"Equipamento Usado - com avarias";"HP";"4430S i5";"EQUIPAMENTO USADO COM AVARIAS:

- BASE SEM PÉS DE BORRACHA; 
- QUEBRADO PRÓXIMO A ENTRADA USB DIREITA; 
- QUEBRADO PRÓXIMO DOBRADIÇA DIREITA; 
- NOTEBOOK COM SINAIS DE DESGASTE DO TEMPO;
- BATERIA NÃO SEGURA CARGA";"Laptop";"estoque@callink.com.br";"BRG239FL0B";"";"";;"2018-01-20";"2018-01-20";"X"
"1422000045";"122605";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431 i5";"EQUIPAMENTO USADO EM BOM ESTADO, SEM AVARIAS.";"Laptop";"30172_murilo";"PE-FAE09";"";"";;"2018-01-20";"2018-01-20";
"1422000046";"115987";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431";"EQUIPAMENTO USADO EM BOM ESTADO.";"Laptop";"alexandre_mendes";"PE-DZL51";"";"";;"2018-01-20";"2018-01-20";"X"
"1422000047";"114787";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431";"EQUIPAMENTO USADO EM BOM ESTADO.";"Laptop";"adams_zago";"PE-CNL01";"";"";;"2018-01-20";"2018-01-20";
"1422000048";"108853";"Production";"Equipamento Usado - em bom estado";"HP";"4430s";"EQUIPAMENTO USADO EM BOM ESTADO SOMENTE COM PEQUENO QUEBRADO NA LATERAL DIREITA.";"Laptop";"alisson_sousa";"BRG145F71T";"";"";;"2018-01-20";"2018-01-20";
"1422000049";"131526";"Production";"Equipamento Novo";"lenovo";"B320-81CC";"NOTEBOOK NOVO.";"Laptop";"fernanda_serafi";"PE0362AT";"";"";;"2018-01-24";"2018-01-24";
"1422000050";"131522";"Production";"Equipamento Novo";"LENOVO";"B320";"SEMINOVO EM PERFEITO ESTADO.";"Laptop";"camila_zandonadi";"PE-036281";"";"";;"2018-01-24";"2018-01-24";
"1422000051";"122616";"Production";"Equipamento Usado - em bom estado";"HP";"4440s";"NOTEBOOK EM BOM ESTADO DE CONSERVAÇÃO COM ALGUNS ESFOLADOS NAS LATERAIS CAUSADOS POR DESGASTE DO TEMPO.";"Laptop";"tatiana_vecchi";"BRG316F2GW";"";"";;"2018-01-30";"2018-01-30";
"1422000052";"114160";"Inactive";"Equipamento Usado - com avarias";"HP";"HP 440 G1 i5";"NOTEBOOK SEM RECUPERAÇÃO - SUCATA

- PEQUENO TRINCADO NA CARCAÇA;
- CABO FLAT COM PROBLEMA CONFORME IMAGEM;
- QUEBRADOS PRÓXIMA A TELA(SUPERIOR/INFERIOR);
- QUEBRADOS PRÓX AO CANTOS DAS CARCAÇAS;
- AMASSADO PRÓX AOS BOTOES DE WI-FI/MUTE;";"Laptop";"estoque@callink.com.br";"BRJ4144XLL";"";"";;"2018-02-03";"2018-02-03";
"1422000053";"111106";"Production";"Equipamento Usado - em bom estado";"HP";"PAVILLION DM4";"NOTEBOOK EM BOM ESTADO DE CONSERVAÇÃO,SEM NENHUM AMASSADO.
BATERIA NÃO ESTÁ ENCAIXANDO E ESTÁ CAINDO COM FACILIDADE.";"Laptop";"vinicius.janone";"BRG221FF21";"";"";;"2018-02-05";"2018-02-05";
"1422000054";"131524";"Production";"Equipamento Usado - em bom estado";"LENOVO";"B320 i5";"EQUIPAMENTO USADO EM BOM ESTADO";"Laptop";"30590_lais";"PED3629B";"";"";;"2018-02-06";"2018-02-06";
"1422000055";"131534";"Production";"Equipamento Novo";"LENOVO";"81CC";"NOTEBOOK NOVO.";"Laptop";"maria_silva";"PE0362AZ";"";"";;"2018-02-08";"2018-04-28";
"1422000056";"113221";"Production";"Equipamento Usado - em bom estado";"HP";"HP T430";"NOTEBOOK EM BOM ESTADO DE CONSERVAÇÃO,SEM NENHUM AMASSADO,APRESENTANDO SOMENTE DESGASTE DO TEMPO DE USO  SENSOR TOUCH.";"Laptop";"gilson_vitor";"PE-XG784";"";"";;"2018-02-08";"2018-05-11";
"1422000057";"111844";"Production";"Equipamento Usado - com avarias";"HP";"4430s";"NOTEBOOK USADO COM QUEBRADO DO LADO DIREITO ONDE ABRE A TAMPA, FALTANDO UMA TRAVA DA BATERIA.
TELA E APARÊNCIA EM BOM ESTADO.";"Laptop";"fernando_alme";"BRG239FKYL";"";"";;"2018-02-09";"2018-02-09";
"1422000058";"131563";"Production";"Equipamento Usado - em bom estado";"LENOVO";"B320 i5";"NOTEBOOK USADO EM BOM ESTADO";"Laptop";"poliana_pereira";"PE0362BK";"";"";;"2018-02-09";"2018-03-26";
"1422000059";"131565";"Production";"Equipamento Usado - em bom estado";"LENOVO";"81CC";"EQUIPAMENTO USADO EM BOM ESTADO";"Laptop";"28153_clarissa";"PE0363VS";"";"";;"2018-02-09";"2018-02-09";
"1422000060";"131569";"Production";"Equipamento Novo";"LENOVO";"B320-81CC";"NOTEBOOK NOVO.";"Laptop";"22984_daniela";"PE0362BQ";"";"";;"2018-02-12";"2018-02-12";
"1422000061";"131558";"Production";"Equipamento Novo";"LENOVO";"B320-81CC";"NOTEBOOK NOVO.";"Laptop";"28139_cassia";"PE03625A";"";"";;"2018-02-12";"2018-02-12";
"1422000062";"131570";"Production";"Equipamento Novo";"LENOVO";"B320 i7";"NOTEBOOK USADO EM BOM ESTADO DE CONSERVAÇÃO";"Laptop";"30580_daniela";"PE0363VZ";"";"";;"2018-02-12";"2018-02-12";
"1422000063";"131566";"Production";"Equipamento Usado - em bom estado";"LENOVO";"B320 i5";"NOTEBOOK SEMI-NOVO";"Laptop";"4830pc_luis";"PE03625E";"";"";;"2018-02-12";"2018-02-12";
"1422000064";"131564";"Production";"Equipamento Novo";"LENOVO";"B320-81CC";"NOTEBOOK NOVO.";"Laptop";"28147_renata";"PE0362AJ";"";"";;"2018-02-12";"2018-02-12";
"1422000065";"131571";"Production";"Equipamento Novo";"LENOVO";"B320 i5";"NOTEBOOK USADO EM BOM ESTADO DE CONSERVAÇÃO.


PROPRIETÁRIO: matheus.filipe@callink.com.br";"Laptop";"";"PE0362AM";"";"";;"2018-02-14";"2018-02-14";
"1422000066";"131521";"Production";"Equipamento Novo";"";"LENOVO B320 81CC";"NOTEBOOK NOVO.";"Laptop";"28383_julio";"PE02Z67N";"";"";;"2018-02-16";"2018-02-16";
"1422000067";"112588";"Production";"Equipamento Usado - em bom estado";"HP";"4440S";"NOTEBOOK USADO EM BOM ESTADO SEM NENHUMA AVARIA.";"Laptop";"alyson_nunes";"BRG302FG78";"";"";;"2018-02-20";"2018-02-20";"X"
"1422000068";"112265";"Production";"Equipamento Usado - em bom estado";"HP";"8460P";"EQUIPAMENTO EM ÓTIMO ESTADO DE CONSERVAÇÃO.";"Laptop";"luiz_tadeu";"BRG238F9F5";"";"";;"2018-02-20";"2018-02-20";
"1422000069";"112493";"Production";"Equipamento Usado - em bom estado";"HP";"4440s";"EQUIPAMENTO USADO EM BOM ESTADO.";"Laptop";"alysson_sousa";"BRG302FG64";"";"";;"2018-02-20";"2018-02-20";
"1422000070";"110046";"Production";"Equipamento Usado - em bom estado";"HP";"4430s";"EQUIPAMENTO USADO EM BOM ESTADO.";"Laptop";"aline_penha";"BRG217FDWF";"";"";;"2018-02-20";;
"1422000071";"131438";"Production";"Equipamento Usado - em bom estado";"LENOVO";"V310 i5";"NOTEBOOK USADO EM BOM ESTADO DE CONSERVAÇÃO.";"Laptop";"nayara_luzia";"PE02ZB2X";"";"";;"2018-02-20";"2018-02-20";
"1422000072";"124932";"Production";"Equipamento Usado - em bom estado";"HP";"640";"EQUIPAMENTO EM BOM ESTADO.";"Laptop";"antonio_cesar";"BRJ5492SPX";"";"";;"2018-02-20";"2018-02-20";
"1422000073";"130332";"Production";"Equipamento Usado - em bom estado";"DELL";"LATITUDE 3480";"NOTEBOOK USADO EM BOM ESTADO DE CONSERVAÇÃO.";"Laptop";"carlos_martins";"452JSL2";"";"";;"2018-02-21";;
"1422000074";"108849";"Estoque";"Equipamento Usado - com avarias";"HP";"4430S i3";"PROBLEMA PARA ENCAIXAR A BATERIA .";"Laptop";"estoque@callink.com.br";"BRG14SF7GN";"";"";;"2018-02-21";"2018-02-21";
"1422000075";"111821";"Production";"Equipamento Usado - em bom estado";"HP";"4430s";"Equipamento Usado - em bom estado.";"Laptop";"raiane_maria";"BRG239FKWP";"";"";;"2018-02-21";"2018-02-21";
"1422000076";"134925";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431 i7";"NOTEBOOK USADO EM BOM ESTADO DE CONVERSAÇÃO:


ANTIGO PATRIMÔNIO 115664, ALTERADO APÓS TROCA DE CARCAÇA.";"Laptop";"washington_jun";"PEDPT67";"";"";;"2018-02-21";"2018-02-21";
"1422000077";"13566";"Production";"Equipamento Novo";"LENOVO";"B320-81CC";"Equipamento Usado - em bom estado";"Laptop";"carlos_martins";"PE0362SE";"";"";;"2018-02-26";"2018-02-26";
"1422000078";"131456";"Production";"Equipamento Novo";"LENOVO";"V310 i7";"Equipamento novo em bom estado";"Laptop";"29225_marta";"PE02ECRG";"";"";;"2018-02-26";"2018-02-26";
"1422000079";"122612";"Maintenance";"Equipamento Usado - em bom estado";"LENOVO";"E431";"Equipamento novo em bom estado

NOTEBOOK EM AVALIAÇÃO DE DANOS, ULTIMO USUÁRIO Vitor Leandro Franco de Paula";"Laptop";"estoque@callink.com.br";"PEDZR76";"";"";;"2018-02-26";"2018-02-26";
"1422000080";"127100";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431";"Equipamento novo em bom estado


* Equipamento em manutenção - Enviado para Fontes


Equipamento com Carlos Leite";"Laptop";"diego_franco";"PEDZR61";"";"";;"2018-02-26";"2018-02-26";
"1422000081";"121235";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431";"Equipamento novo em bom estado";"Laptop";"31731_nilza";"PEDRD53";"";"";;"2018-02-26";"2018-02-26";
"1422000082";"112617";"Production";"Equipamento Usado - em bom estado";"HP";"8460P";"Equipamento novo em bom estado";"Laptop";"lucas_marchesoti";"BRG229F02C";"";"";;"2018-02-26";"2018-02-26";
"1422000083";"121161";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431";"Equipamento novo em bom estado";"Laptop";"linique_santos";"PEDZL85";"";"";;"2018-02-26";"2018-02-26";
"1422000084";"122056";"Production";"Equipamento Usado - com avarias";"LENOVO";"E431";"Equipamento novo em bom estado";"Laptop";"eduardo_souza";"PEDZR69";"";"";;"2018-02-26";"2018-02-26";
"1422000085";"122606";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431";"Equipamento novo em bom estado";"Laptop";"marcelo_dutra";"PEFDB64";"";"";;"2018-02-26";"2018-02-26";
"1422000086";"129956";"Production";"Equipamento Novo";"DELL";"P69G";"Equipamento novo em bom estado";"Laptop";"junior";"BB4PHJ2";"";"";;"2018-02-26";"2018-02-26";
"1422000087";"111798";"Production";"Equipamento Novo";"HP";"DM4";"Equipamento novo em bom estado";"Laptop";"juliano_alves";"BRG228FD4V";"";"";;"2018-02-26";"2018-02-26";
"1422000088";"122630";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431";"Equipamento novo em bom estado";"Laptop";"juliana_oli";"PEDZL59";"";"";;"2018-02-26";"2018-02-26";
"1422000089";"120046";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431";"Equipamento novo em bom estado";"Laptop";"fernanda_tavar";"PEERN01";"";"";;"2018-02-26";"2018-02-26";
"1422000090";"121469";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431";"Equipamento novo em bom estado";"Laptop";"danilo_borges";"PEEPL02";"";"";;"2018-02-27";"2018-02-27";
"1422000091";"114139";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431";"Equipamento novo em bom estado";"Laptop";"mariane_cortes";"PEBPL60";"";"";;"2018-02-27";"2018-02-27";
"1422000092";"121465";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431";"Equipamento novo em bom estado";"Laptop";"";"PEEPG79";"";"";;"2018-02-27";"2018-02-27";
"1422000093";"112269";"Production";"Equipamento Usado - em bom estado";"HP";"8460P";"Equipamento novo em bom estado";"Laptop";"enderson_silva";"BRG234F4DQ";"";"";;"2018-02-27";;
"1422000094";"115985";"Production";"Equipamento Usado - com avarias";"HP";"E431";"VERSO- SAIDA DE AR COM A CARCASSA QUEBRADA";"Laptop";"claudio_lopes";"PEDZL52";"";"";;"2018-02-27";"2018-02-27";
"1422000095";"122625";"Production";"Equipamento Novo";"LENOVO";"E431";"Equipamento novo em bom estado";"Laptop";"eduardo_borges";"PEDZR81";"";"";;"2018-02-27";"2018-02-27";
"1422000096";"126868";"Production";"Equipamento Usado - em bom estado";"HP";"440";"NOTEBOOK USADO EM BOM ESTADO DE CONSERVAÇÃO";"Laptop";"estoque@callink.com.br";"BRJ512NG10";"";"";;"2018-02-27";"2018-02-27";
"1422000097";"131442";"Production";"Equipamento Novo";"LENOVO";"V310";"Equipamento novo em bom estado";"Laptop";"bruno_santos";"PE02ZCQX";"";"";;"2018-02-27";"2018-02-27";
"1422000098";"131364";"Production";"Equipamento Novo";"DELL";"LATITUDE 3480";"Equipamento novo em bom estado";"Laptop";"dilson_junior";"43DJSL2";"";"";;"2018-02-27";"2018-02-27";
"1422000099";"131413";"Production";"Equipamento Usado - em bom estado";"DELL";"P69G";"Notebook usado em bom estado, acompanha os seguintes equipamentos:

- Adaptador Display Link - Patrimônio 136150;
- Fonte para Notebook - Patrimônio 136151;";"Laptop";"denis_macedo";"6NJKHJ2";"";"";;"2018-02-27";"2018-02-27";
"1422000100";"131458";"Production";"Equipamento Novo";"LENOVO";"V310";"Equipamento novo em bom estado";"Laptop";"dean_gough";"PE02ZG6D";"";"";;"2018-02-27";"2018-02-27";
"1422000101";"114792";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431 i7";"EQUIPAMENTO USADO EM BOM ESTADO";"Laptop";"guilherme_andra";"PECNL32";"";"";;"2018-02-27";"2018-02-27";
"1422000102";"131362";"Production";"Equipamento Novo";"DELL";"LATITUDE 3840";"Equipamento novo em bom estado";"Laptop";"sely_costa";"42YJ8L2";"";"";;"2018-02-27";"2018-02-27";
"1422000103";"112267";"Maintenance";"Equipamento Usado - com avarias";"HP";"8460P i7";"Equipamento usado com avarias:

- TECLA ""´P"" SOLTANDO;
- EQUIPAMENTO ESQUENTANDO E DESLIGANDO;";"Laptop";"estoque@callink.com.br";"BRG238F9MG";"";"";;"2018-02-27";"2018-02-27";
"1422000104";"112589";"Production";"Equipamento Usado - em bom estado";"HP";"4440S i5";"Equipamento novo em bom estado";"Laptop";"fabricio_desouz";"BRG302FG4K";"";"";;"2018-02-28";"2018-02-28";
"1422000105";"115063";"Production";"Equipamento Usado - em bom estado";"HP";"440";"Equipamento USADO em bom estado";"Laptop";"30288_marco";"BRJ4229F9S";"";"";;"2018-02-28";"2018-09-18";
"1422000106";"121470";"Production";"Equipamento Novo";"LENOVO";"E431";"Equipamento novo em bom estado  OBS:FALTANDO BOTAO CENTRAL DO MOUSE PAD";"Laptop";"neiva_rabelo";"PEEPG97";"";"";;"2018-02-28";"2018-02-28";
"1422000107";"131159";"Production";"Equipamento Usado - com avarias";"SANSUNG";"NP300ESK";"Equipamento novo em bom estado";"Laptop";"wagner_peixoto";"0G7D9QAJ100994";"";"";;"2018-02-28";"2018-02-28";
"1422000108";"114146";"Production";"Equipamento Usado - em bom estado";"HP";"440";"Equipamento usado em bom estado";"Laptop";"ricardo_olive";"BRJ4020BPB";"";"";;"2018-02-28";"2018-02-28";
"1422000109";"121468";"Production";"Equipamento Novo";"LENOVO";"E431";"Equipamento usado em bom estado";"Laptop";"cassio_alcantara";"PEEPG93";"";"";;"2018-02-28";"2018-02-28";
"1422000110";"114790";"Production";"Equipamento Novo";"LENOVO";"E431";"Equipamento novo em bom estado";"Laptop";"elias_policena";"PECNL71";"";"";;"2018-02-28";"2018-02-28";
"1422000111";"122916";"Production";"Equipamento Usado - em bom estado";"ASUS";"K46CB";"Equipamento usado em bom estado";"Laptop";"";"EBNOB2O30548139";"";"";;"2018-02-28";"2018-02-28";
"1422000112";"121162";"Production";"Equipamento Usado - em bom estado";"LENOVO";"E431 i7";"Equipamento novo em bom estado

- FALTA BOTÃO CENTRAL DO TECLADO;
- QUEBRADO PRÓX A SAÍDA DE AR;";"Laptop";"31725_joao";"PEDZM58";"";"";;"2018-02-28";"2018-02-28";
"1422000113";"131431";"Production";"Equipamento Usado - em bom estado";"LENOVO";"V310 i7";"Equipamento usado em bom estado";"Laptop";"samuel_leite";"PE02ZG67";"";"";;"2018-02-28";"2018-02-28";
"1422000114";"131443";"Production";"Equipamento Novo";"LENOVO";"V310";"Equipamento novo em bom estado";"Laptop";"gleison_almeida";"PE02ZG60";"";"";;"2018-02-28";"2018-02-28";
"1422000115";"107766";"Maintenance";"Equipamento Usado - com avarias";"HP";"8440P ELITBOOK";"Notebook usado com avarias

- Tecla H Soltando;
- Sinais de desgaste do tempo";"Laptop";"estoque@callink.com.br";"BRG13OF01J";"";"";;"2018-02-28";"2018-02-28";
"1422000116";"112264";"Production";"Equipamento Novo";"HP";"8460P";"Equipamento novo em bom estado";"";"";"";"";"";;"2018-02-28";"2018-02-28";
"1422000117";"108852";"Production";"Equipamento Usado - em bom estado";"HP";"4430S";"Equipamento usado em bom estado";"Laptop";"ismael_jesus";"BRG145F7GH";"";"";;"2018-02-28";"2018-02-28";
"1422000118";"111815";"Inactive";"Equipamento Usado - com avarias";"HP";"4430S i5";"DUPLICIDADE DE CADASTRO

PATRIMÔNIO CORRETO DO EQUIPAMENTO É 111818";"Laptop";"artur_moura";"BRG234FDL0";"";"";;"2018-02-28";"2018-02-28";
"1422000119";"112268";"Maintenance";"Equipamento Usado - em bom estado";"HP";"8460P";"Equipamento usado em bom estado

*NOTEBOOK ENCAMINHADO PARA ANALISE DE AVARIAS, ESTAVA COM FUNCIONÁRIO: Hebert Moreira De Castro Alves";"Laptop";"estoque@callink.com.br";"BRG234F4F1";"";"";;"2018-02-28";"2018-02-28";
"1422000120";"115592";"Production";"Equipamento Novo";"LENOVO";"E431";"Equipamento novo em bom estado";"Laptop";"diego_alves";"PECBV06";"";"";;"2018-02-28";"2018-02-28";
"1422000121";"111085";"Production";"Equipamento Usado - em bom estado";"HP";"4430s";"EQUIPAMENTO USADO EM BOM ESTADO";"Laptop";"luliane_silva";"A7H37LT#AC4";"";"";;"2018-03-01";"2018-03-01";
